scorer,,,,,,,Cleaned,,,
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,Lhand,,Rhand,
coords,x,y,likelihood,x,y,likelihood,x,y,x,y
24,200.9266851,372.3778282,0.99999404,112.9113789,534.1664233,0.999999881,200.9266851,372.3778282,112.9113789,534.1664233
25,189.0355169,366.0079718,0.999993324,116.9332096,538.4356756,0.999998569,189.0355169,366.0079718,116.9332096,538.4356756
26,173.4164349,380.4215528,0.99998486,112.6366692,544.020792,0.999993086,173.4164349,380.4215528,112.6366692,544.020792
27,167.0348458,386.8792001,1,110.4111056,551.0021985,0.999988675,167.0348458,386.8792001,110.4111056,551.0021985
28,160.9827936,394.644435,0.999999762,108.2376103,556.502466,0.99998796,160.9827936,394.644435,108.2376103,556.502466
29,157.9301115,405.1108589,0.999999881,102.0512295,558.6329606,0.999919772,157.9301115,405.1108589,102.0512295,558.6329606
30,150.2864275,417.4174643,0.999999881,93.5311259,563.3697384,0.999919534,150.2864275,417.4174643,93.5311259,563.3697384
31,147.5045599,425.4345574,0.999999762,83.37328577,537.9476624,0.999900222,147.5045599,425.4345574,83.37328577,537.9476624
32,138.9587809,441.5971589,0.999999523,63.02976513,451.496556,1,138.9587809,441.5971589,63.02976513,451.496556
33,131.1008236,449.157429,1,57.58198452,394.7191541,1,131.1008236,449.157429,57.58198452,394.7191541
34,129.1255383,460.8627291,0.999999881,67.51487446,358.3880582,0.740157485,129.1255383,460.8627291,67.51487446,
35,122.6868246,468.178321,1,71.95132303,350.3283505,0.95499748,122.6868246,468.178321,71.95132303,350.3283505
36,117.0165937,476.1099777,0.999999881,77.38651001,353.2340014,0.999639392,117.0165937,476.1099777,77.38651001,353.2340014
37,112.4658046,485.6808308,0.999999881,84.50725526,362.9816052,0.986820638,112.4658046,485.6808308,84.50725526,362.9816052
38,107.1890795,498.9093415,0.999999523,92.95179939,387.7745605,0.999999166,107.1890795,498.9093415,92.95179939,387.7745605
39,100.8597581,517.7625197,0.999997854,94.54106927,414.4489384,0.999999881,100.8597581,517.7625197,94.54106927,414.4489384
40,97.29914546,528.6332526,1,94.19083619,431.9444094,1,97.29914546,528.6332526,94.19083619,431.9444094
