scorer,,,,
bodyparts,Lhand,,Rhand,
coords,x,y,x,y
150,305.8012476,316.9376018,209.3767028,442.56494
151,289.7042658,292.7595112,213.23569,453.9645468
152,256.4662011,306.8236459,217.1513143,467.9642363
153,232.7846751,320.7876914,219.1081767,482.8956995
154,228.1796588,346.4407891,219.5400953,502.3388884
155,222.3504546,366.054244,215.5069265,522.314054
156,218.9227453,384.8417318,211.383157,524.4680471
157,216.4245329,401.3195453,183.7649624,500.4851467
158,212.7444221,422.8461592,135.7122884,414.0348332
159,204.5321978,442.9400704,118.6483691,336.5941029
160,202.3043176,464.3252707,123.8304911,304.0673106
161,201.4774868,487.1226745,139.217849,284.6451883
162,200.9985919,507.399317,149.8268361,308.9489176
163,204.953024,526.3853071,159.7639227,328.5015841
164,210.1126605,536.0966568,175.7551854,335.4680085
165,213.2255286,551.6743329,182.3490639,352.4253311
166,215.8755291,563.1488274,185.3026443,370.3389128
167,222.3804092,572.0999405,188.7233247,383.521358
168,231.3379655,574.6805422,190.0243573,402.0165296
169,258.2941387,540.3046274,192.8093982,419.6651109
170,291.3106211,453.4743203,201.1269073,433.2473743
171,320.9778457,372.3846374,208.0200276,449.9426644
172,329.4345307,335.6960826,212.9470271,462.3063073
173,305.6618805,293.9921737,215.3825636,480.8760605
174,280.8796964,294.0777156,221.4152703,497.7614553
175,263.4100375,315.63001,226.0152893,513.0146894
176,257.3677278,325.5793388,229.0872763,528.1928053
177,258.8670776,343.4403372,233.0413442,543.8069472
178,257.0766041,363.3193964,234.8500834,556.6923312
179,258.9795848,384.0638916,233.7866802,566.3283992
180,261.356599,403.6678413,234.0213375,568.3442354
181,264.9299173,423.6490903,218.8969936,553.7505982
182,262.8794947,445.2108502,169.5399518,488.3037851
183,254.9410062,463.6940551,143.2301013,380.3348009
184,245.0092424,482.76759,140.4509595,322.7604127
185,238.496284,500.554481,169.4501834,289.519105
186,231.2933862,510.4863441,179.7828089,273.6644711
187,226.0078332,521.072588,187.4459393,291.6739788
188,223.6472969,534.2521632,195.2642549,312.3301973
189,221.466098,549.1211724,201.1278338,325.3484722
190,222.7449384,557.9121791,208.330627,338.1884377
191,230.1572869,563.7935301,205.7862446,352.2819061
192,254.8260477,534.3141172,206.2208493,370.1615357
193,293.5158857,455.1768,206.4021709,390.2158237
194,320.4719377,378.6691527,212.1545694,414.9517133
195,,,216.8507023,444.5952199
196,304.137542,302.2306557,219.1144972,467.2446142
197,290.9057614,290.9988599,222.1183496,483.940606
198,274.5643507,312.8919477,222.7262237,500.8620661
199,248.2625909,330.3491938,220.1266069,518.4653621
200,247.2066655,348.4767197,217.21875,535.0143566
201,238.0005724,366.2611368,210.2565866,549.4769387
202,231.495542,382.262948,204.41597,562.145762
203,232.8917017,398.3411717,203.6871333,567.7473786
204,237.7719424,416.5475497,210.3226233,574.0714512
205,240.9298747,436.9330196,209.6204908,576.0716224
206,247.1727116,456.4404263,191.5067883,550.5684321
207,248.7651997,483.0995027,143.7316885,473.966182
208,245.6067593,503.9790778,129.0836792,389.165949
209,241.6766121,526.2337699,135.7685871,352.0127206
210,236.2089889,540.9109675,161.6531868,321.4581008
211,228.3012506,547.4183173,172.5274249,318.088706
212,225.1737802,556.1156973,186.6262972,337.5929108
213,224.5607455,568.1923068,193.2064545,352.7552714
214,224.6821258,581.0268134,193.3358607,364.6672536
215,227.6581824,590.2045999,198.5986056,376.986218
216,232.2736945,601.1644006,200.6174998,389.1859446
217,,,201.0244675,400.9806943
218,,,200.8542171,414.7096336
219,,,200.021677,432.9657688
220,298.9110062,497.2088923,201.3162832,454.8541977
221,324.8326933,410.4576303,203.6227856,475.2942281
222,336.5877967,363.8966686,209.4225698,494.8289165
223,328.829407,320.514668,214.0829871,516.3302851
224,308.0078109,299.006786,219.8347802,532.2736173
225,287.946434,287.7075176,223.9411254,548.8834132
226,266.3363993,317.2349077,229.108196,561.3607254
227,248.4974728,335.2718053,232.9865446,572.631269
228,249.183805,342.0820935,234.9880242,582.3644447
229,243.6306464,363.4904442,237.0031773,589.2671458
230,240.0745649,380.1097445,238.1654003,599.8100419
231,232.4653759,397.813302,,
232,227.3977928,415.0570858,,
233,223.8021216,428.7115479,,
234,223.1682127,446.1370604,,
235,222.77107,459.1083786,174.758997,559.7949877
236,222.2108729,466.9883149,151.3649952,491.9028922
237,220.1998874,476.8059714,146.3936294,418.949894
238,212.751534,483.441641,140.513742,370.8397884
239,211.0954536,490.7834489,143.7850938,348.8174379
240,212.0386505,504.4819436,141.2687793,339.4004803
241,212.417618,517.074639,140.584269,354.7210947
242,213.1109296,528.4128289,148.970803,388.6063704
243,217.9454653,538.5632175,162.9524294,399.5401626
244,222.456955,547.708077,168.9820514,409.3054941
