scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,delta x Lhand,delta y Lhand,Delta x Rhand,Delta y Rhand ,velocity x Lhand (pixels/s),velocity y Lhand (pixels/s),velocity x Rhand (pixels/s),velocity y Rhand (pixels/s),total velocity,Correlation coefficient,Max,Min
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,585.9807878,366.0079718
coords,x,y,likelihood,x,y,likelihood,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,573.5751723,350.6703038
49,214.6822841,391.3734417,0.999999523,99.7410138,570.5351439,1,-13.81603217,-28.76886666,9.250155956,12.2906518,-1381.603217,-2876.886666,925.0155956,1229.06518,1538.263654,,,
50,200.8662519,362.604575,0.99999547,108.9911698,582.8257957,0.999999046,-2.982945323,-7.98690033,2.650228679,2.804785013,-298.2945323,-798.690033,265.0228679,280.4785013,385.8825083,,,
51,197.8833066,354.6176747,0.999996662,111.6413984,585.6305807,0.999993205,-18.18434578,-3.947370887,6.976348639,7.742378712,-1818.434578,-394.7370887,697.6348639,774.2378712,1042.179775,,,
52,179.6989608,350.6703038,0.999998689,118.6177471,593.3729594,0.999987006,-14.23115104,9.094692707,3.943678021,6.854952574,-1423.115104,909.4692707,394.3678021,685.4952574,790.8411416,,,
53,165.4678098,359.7649965,0.999923944,122.5614251,600.2279119,0.997259498,-6.563974261,11.57657528,0.812535405,12.46791935,-656.3974261,1157.657528,81.25354052,1246.791935,1249.43678,,,
54,158.9038355,371.3415718,0.999645352,123.3739605,612.6958313,0.372795939,-5.53624177,6.639869452,0.086541891,0.857447624,-553.624177,663.9869452,8.65418911,85.74476242,86.18038798,,,
55,153.3675938,377.9814413,0.999922037,123.4605024,613.5532789,0.058744103,-2.021813154,7.749293566,-2.35842514,-1.879496574,-202.1813154,774.9293566,-235.842514,-187.9496574,301.5738138,,,
56,151.3457806,385.7307348,0.999999762,121.1020772,611.6737823,0.237591878,-2.259958386,9.09272337,2.890761875,-0.495789051,-225.9958386,909.272337,289.0761875,-49.57890511,293.2969656,,,
57,149.0858222,394.8234582,0.999999762,123.9928391,611.1779933,0.159468129,-1.142354261,13.01046062,11.7577512,2.034212589,-114.2354261,1301.046062,1175.77512,203.4212589,1193.242365,,,
58,147.943468,407.8339188,0.999999642,135.7505903,613.2122059,0.067506716,0.266995054,12.21784845,-36.97454453,-15.83165848,26.69950537,1221.784845,-3697.454453,-1583.165848,4022.136687,,,
59,148.210463,420.0517673,1,98.7760458,597.3805474,0.957733095,0.383533567,11.92617736,-36.27466345,-72.77678186,38.35335672,1192.617736,-3627.466345,-7277.678186,8131.611886,,,
60,148.5939966,431.9779446,1,62.50138235,524.6037655,1,-8.020042002,12.60523605,-14.29459333,-81.81062931,-802.0042002,1260.523605,-1429.459333,-8181.062931,8305.007204,,,
61,140.5739546,444.5831807,0.999999762,48.20678902,442.7931362,1,-6.393375158,,-0.402927399,-47.51835179,-639.3375158,,-40.29273987,-4751.835179,4752.006006,,,
62,134.1805794,457.9447103,1,47.80386162,395.2747844,0.999998569,-1.724333137,,21.62963939,-19.02368343,-172.4333137,,2162.963939,-1902.368343,2880.523965,,,
63,132.4562463,467.2630545,1,69.43350101,376.251101,0.005076416,-3.3612279,11.6560086,3.879528284,-13.78746569,-336.12279,1165.60086,387.9528284,-1378.746569,1432.288204,,,
64,129.0950184,478.9190631,0.999999404,73.31302929,362.4636353,0.14803569,-4.484637022,10.69631672,10.1700958,-3.566330075,-448.4637022,1069.631672,1017.00958,-356.6330075,1077.727047,,,
65,124.6103814,489.6153798,0.999999404,83.48312509,358.8973053,0.999446571,-3.727132082,13.42571187,16.81293058,19.51897299,-372.7132082,1342.571187,1681.293058,1951.897299,2576.169524,,,
66,120.8832493,503.0410917,0.999998689,100.2960557,378.4162782,1,-2.05278945,13.2061494,3.251879334,18.87728703,-205.278945,1320.61494,325.1879334,1887.728703,1915.533045,,,
67,118.8304598,516.2472411,0.999999881,103.547935,397.2935653,1,-2.602715313,12.79826969,2.416493416,17.97346067,-260.2715313,1279.826969,241.6493416,1797.346067,1813.517932,,,
68,116.2277445,529.0455108,0.999998689,105.9644284,415.2670259,1,-0.026262686,12.13979578,0.896317005,19.87350619,-2.626268566,1213.979578,89.63170052,1987.350619,1989.370836,,,
69,116.2014818,541.1853065,0.999997258,106.8607454,435.1405321,1,0.412608728,6.752632856,1.469159395,18.87734711,41.26087278,675.2632856,146.9159395,1887.734711,1893.443063,,,
70,116.6140906,547.9379394,0.999923825,108.3299048,454.0178792,1,7.151128069,2.473448515,-2.255153328,17.33197808,715.1128069,247.3448515,-225.5153328,1733.197808,1747.807715,,,
71,123.7652186,550.4113879,0.999994636,106.0747515,471.3498573,0.999999642,14.29820012,-1.659374952,-7.996548772,18.56908464,1429.820012,-165.9374952,-799.6548772,1856.908464,2021.770751,,,
72,138.0634187,548.752013,0.99999845,98.07820272,489.918942,1,44.4237932,-28.60561681,-2.240556479,17.43550664,4442.37932,-2860.561681,-224.0556479,1743.550664,1757.887895,,,
73,182.4872119,520.1463962,0.999999762,95.83764625,507.3544486,1,42.13740563,-58.52444196,-1.101753473,14.12033719,4213.740563,-5852.444196,-110.1753473,1412.033719,1416.325468,,,
74,224.6246176,461.6219542,1,94.73589277,521.4747858,1,18.53151244,-30.99806857,7.543988228,11.52544522,1853.151244,-3099.806857,754.3988228,1152.544522,1377.489187,,,
75,243.15613,430.6238856,1,102.279881,533.000231,1,-10.45846385,-18.8124103,6.673992157,8.793730617,-1045.846385,-1881.24103,667.3992157,879.3730617,1103.95593,,,
76,232.6976662,411.8114753,0.999973059,108.9538732,541.7939616,1,-12.8070154,-10.8726421,1.308726549,8.856818318,-1280.70154,-1087.26421,130.8726549,885.6818318,895.2988099,,,
77,219.8906508,400.9388332,0.999996305,110.2625997,550.65078,1,-7.992065303,-6.415583014,-0.263000727,7.83863163,-799.2065303,-641.5583014,-26.30007267,783.863163,784.3042472,,,
78,211.8985855,394.5232502,0.99997139,109.999599,558.4894116,1,-1.874038361,-7.752028942,0.088898659,4.980433762,-187.4038361,-775.2028942,8.889865875,498.0433762,498.1227101,,,
79,210.0245471,386.7712213,0.999958634,110.0884976,563.4698454,1,-11.90006709,-7.31256628,2.55908823,9.557905018,-1190.006709,-731.256628,255.908823,955.7905018,989.4568253,,,
80,198.12448,379.458655,0.999999642,112.6475859,573.0277504,1,-16.36608112,16.37597139,4.977778435,6.575851649,-1636.608112,1637.597139,497.7778435,657.5851649,824.7430088,,,
81,181.7583989,395.8346264,0.999993086,117.6253643,579.603602,1,-10.41604865,2.40129976,1.211540937,7.766594797,-1041.604865,240.129976,121.1540937,776.6594797,786.0523277,,,
82,171.3423502,398.2359262,0.994565248,118.8369052,587.3701968,0.999993086,-5.457553625,5.425055534,2.893687963,1.799376011,-545.7553625,542.5055534,289.3687963,179.9376011,340.7518754,,,
83,165.8847966,403.6609817,0.999806583,121.7305932,589.1695728,0.999966621,-2.769095242,10.33069906,5.793632746,4.315134287,-276.9095242,1033.069906,579.3632746,431.5134287,722.4026876,,,
84,163.1157014,413.9916807,0.999999523,127.524226,593.4847071,0.999982595,-1.683078706,9.692444921,0.734954596,5.580996513,-168.3078706,969.2444921,73.49545956,558.0996513,562.9181143,,,
85,161.4326227,423.6841257,0.999999046,128.2591805,599.0657036,0.999717534,-5.118677139,3.942721963,-2.480433583,4.208237886,-511.8677139,394.2721963,-248.0433583,420.8237886,488.485587,,,
86,156.3139455,427.6268476,0.999999762,125.778747,603.2739415,0.801734507,-3.209419966,9.136333764,-1.813774899,9.000309467,-320.9419966,913.6333764,-181.3774899,900.0309467,918.1249909,,,
87,153.1045256,436.7631814,0.999999404,123.9649721,612.274251,0.115508117,-2.329670906,4.476092398,-12.39518933,-1.47069788,-232.9670906,447.6092398,-1239.518933,-147.069788,1248.213406,,,
88,150.7748547,441.2392738,0.999999881,111.5697827,610.8035531,0.00200656,-1.550684929,2.549305946,0.025915384,-0.224336624,-155.0684929,254.9305946,2.591538429,-22.43366241,22.58285369,,,
89,149.2241697,443.7885797,1,111.5956981,610.5792165,0.00304072,1.243252516,4.429621667,0.605153799,0.119921207,124.3252516,442.9621667,60.51537991,11.99212074,61.69215643,,,
90,150.4674222,448.2182014,0.999999881,112.2008519,610.6991377,0.00357409,2.52840662,5.176745892,12.42715871,3.385741234,252.840662,517.6745892,1242.715871,338.5741234,1288.012102,,,
91,152.9958289,453.3949473,0.999999881,124.6280106,614.0848789,0.016369831,0.702147245,3.624236345,-22.47653401,-14.56785583,70.21472454,362.4236345,-2247.653401,-1456.785583,2678.464121,,,
92,153.6979761,457.0191836,0.999999642,102.1514766,599.5170231,0.989988029,-3.975734472,4.353677392,-15.06650686,-35.22251889,-397.5734472,435.3677392,-1506.650686,-3522.251889,3830.960018,,,
93,149.7222416,461.372861,0.999999881,87.08496976,564.2945042,1,-7.464342594,7.128824234,-29.502074,-83.08107713,-746.4342594,712.8824234,-2950.2074,-8308.107713,8816.369858,,,
94,142.257899,468.5016853,0.999999881,57.58289576,481.2134271,1,-6.396081209,0.346427977,-4.618514538,-60.54374129,-639.6081209,34.64279771,-461.8514538,-6054.374129,6071.964497,,,
95,135.8618178,468.8481132,0.999999762,52.96438122,420.6696858,1,-5.387324691,1.95280987,9.858306885,-36.59742588,-538.7324691,195.280987,985.8306885,-3659.742588,3790.194976,,,
96,130.4744931,470.8009231,0.999999762,62.8226881,384.0722599,0.992847264,-6.958609909,8.305631399,11.9974649,-21.45560682,-695.8609909,830.5631399,1199.74649,-2145.560682,2458.215263,,,
97,123.5158832,479.1065545,0.999999046,74.820153,362.6166531,0.004303848,-5.73550418,6.712327361,29.25465131,106.0868324,-573.550418,671.2327361,2925.465131,10608.68324,11004.65839,,,
