,p_left,p_right,y_left,y_right
71,0.999905467,1.0,322.0526365,443.977295
72,0.999965906,0.999999881,295.9923339,457.6667321
73,0.999999166,1.0,308.7191201,469.0147634
74,0.999977469,1.0,336.0842302,483.5541595
75,0.999994755,1.0,355.4106098,501.0083344
76,0.999998808,1.0,374.8884733,520.3402486
77,0.999999642,1.0,390.0720139,535.5781214
78,0.999998808,1.0,410.531363,553.3030159
79,0.999999166,1.0,432.8197365,562.3804407
80,0.999999881,1.0,454.8364191,562.9362556
81,0.999999166,0.999999642,474.6190057,536.4699993
82,0.999999881,1.0,489.3761482,448.6312919
83,0.999999762,1.0,503.9113901,357.6998756
84,0.999999881,0.999999881,518.2875879,317.3601995
85,0.999998927,0.999998093,538.9741968,301.5740197
86,0.999999762,0.999998808,550.7655602,331.4533787
87,1.0,0.999999762,566.5374291,351.8697309
88,1.0,0.999999762,581.0103927,364.0078879
89,0.999981046,0.999999881,593.7335203,381.6146559
90,0.277806163,1.0,518.18459355,393.9714646
91,0.999984026,1.0,442.6356668,407.539767
92,1.0,1.0,442.6356668,419.881948
93,1.0,1.0,381.020152,431.4327497
94,0.999993324,1.0,337.055712,441.8739686
95,0.999043763,1.0,317.0593817,460.1949648
96,0.999994516,1.0,303.5328665,477.1031954
97,0.999932766,1.0,334.5307062,493.1867453
98,0.999992728,1.0,355.9110725,516.9441027
99,0.99999702,1.0,377.6610041,535.2164104
100,0.999999762,1.0,394.4275967,552.6939235
101,0.999999881,1.0,411.47247,566.57933
102,0.999999762,1.0,432.9314966,585.9280486
103,0.999999642,0.908174276,457.0977116,600.9228911
104,0.999999881,0.001431495,485.816626,593.6446249333334
105,0.999998927,0.001180038,507.9216517,586.3663587666666
106,0.999999762,0.011127165,530.315323,579.0880926
107,1.0,0.999982715,558.0980568,579.0880926
108,0.999999881,1.0,583.0476305,500.9584087
109,0.740576267,0.983880341,588.6781569,408.1356282
110,0.410579979,0.999986291,594.3086833,360.4873118
111,0.034651235,0.999995589,599.9392097,331.9023854
112,0.972399652,0.999999523,599.9392097,348.4858795
113,0.012960915,0.999999762,588.2226077428571,368.2329655
114,0.012504058,1.0,576.5060057857143,377.7161899
115,0.035188232,1.0,564.7894038285714,389.4392763
116,0.114067778,1.0,553.0728018714286,402.6927232
117,0.163836807,1.0,541.3561999142858,417.6739688
118,0.047157064,1.0,529.6395979571429,431.2771175
119,0.021261275,1.0,517.922996,442.9621712
120,1.0,1.0,517.922996,457.0550556
121,1.0,1.0,434.5993249,477.2221794
122,0.999957442,1.0,395.9574906,489.9395738
123,0.999962449,1.0,358.1116514,500.9637234
124,0.999996066,1.0,345.9613624,514.4985785
125,0.999997616,1.0,358.2644954,524.5261709
126,0.999994397,1.0,373.4617834,534.9640927
127,0.999999404,1.0,388.1134699,549.5740253
128,0.999999046,1.0,400.4216697,561.0614209
129,0.999998689,1.0,414.2484326,570.0020308
130,0.999999881,1.0,430.2016358,573.92022
131,0.999999881,0.999999881,445.3433224,579.9866379
132,0.999999881,1.0,469.2432195,578.0197296
133,0.999999762,1.0,490.5571556,553.6515107
134,0.999999881,1.0,500.5322908,485.2962292
135,0.999997377,0.999908209,510.563935,404.0328857
136,0.999999404,0.99999094,527.4043794,354.5760806
137,0.999997497,0.998755336,536.4376421,326.4716067
138,0.999999285,0.999960184,542.4957936,310.791019
139,0.999997497,1.0,545.5305493,309.6805825
140,0.999999523,0.999998689,550.3626776,324.7046732
141,0.999996305,1.0,559.0150452,333.3864391
142,0.999999166,0.999999762,565.8309104,346.3491236
143,0.999999642,1.0,576.6969948,365.7582474
144,0.99999845,1.0,589.4544365,385.055449
145,0.467236042,1.0,511.70523045000004,399.1565809
146,0.994235098,1.0,433.9560244,406.1381834
147,1.0,1.0,433.9560244,415.0469527
148,0.999999881,1.0,364.6231374,425.5206752
149,0.993621767,1.0,316.9376018,442.56494
150,0.999988914,1.0,292.7595112,453.9645468
151,0.9999789,1.0,306.8236459,467.9642363
152,0.998585939,1.0,320.7876914,482.8956995
153,0.999999642,1.0,346.4407891,502.3388884
154,0.999999523,1.0,366.054244,522.314054
155,0.999999881,1.0,384.8417318,524.4680471
156,0.999999523,0.999999881,401.3195453,500.4851467
157,1.0,0.999999762,422.8461592,414.0348332
158,0.999999642,1.0,442.9400704,336.5941029
159,0.999999762,0.999976158,464.3252707,304.0673106
160,0.999999881,0.99999547,487.1226745,284.6451883
161,0.999999881,1.0,507.399317,308.9489176
162,0.999999762,1.0,526.3853071,328.5015841
163,1.0,1.0,536.0966568,335.4680085
164,0.999999881,1.0,551.6743329,352.4253311
165,1.0,1.0,563.1488274,370.3389128
